Source,Destination
5114100181,5114100051
5114100181,5114100064
5114100181,5114100097
5114100181,5114100118
5114100181,5114100130
5114100181,5114100153
5114100181,5114100172
5114100181,5114100177
5114100181,5114100186
5114100181,5114100188
5113100134,5113100028
5113100134,5113100036
5113100134,5113100038
5113100134,5113100039
5113100134,5113100044
5113100134,5113100098
5113100134,5113100146
5113100134,5113100147
5113100134,5113100178
5113100134,5113100189
5113100034,5113100082
5113100034,5113100028
5113100034,5113100160
5113100034,5113100189
5113100034,5113100044
5113100034,5114100001
5113100034,5113100146
5113100082,5113100034
5113100082,5113100028
5113100082,5113100160
5113100082,5113100044
5113100082,5113100038
5113100082,5113100147
5113100082,5113100146
5113100098,5113100134
5113100098,5113100189
5113100098,5114100029
5113100036,5113100047
5113100036,5113100108
5113100036,5113100179
5113100036,5113100134
5113100036,5113100189
5113100047,5113100034
5113100047,5113100036
5113100047,5113100064
5113100047,5113100044
5113100047,5113100098
5113100047,5113100146
5113100047,5113100189
5113100047,5113100194
5113100047,5113100134
5113100147,5113100038
5113100147,5113100134
5113100147,5113100146
5113100147,5113100153
5113100153,5113100147
5113100153,5113100038
5113100153,5113100039
5113100160,5113100028
5113100160,5113100034
5113100160,5113100082
5113100160,5113100044
5113100160,5113100084
5113100160,5113100146
5113100160,5113100133
5113100160,5113100194
5114100186,5113100064
5114100186,5114100181
5114100186,5114100171
5114100186,5114100153
5114100186,5114100130
5114100186,5114100118
5114100186,5114100097
5114100186,5114100064
5113100186,5113100014
5113100186,5113100131
5113100186,5113100133
5113100186,5113100155
5113100186,5113100165
5113100186,5113100179
5113100186,5113100194
5114100034,5114100029
5114100034,5114100188
5114100034,5113100038
5114100034,5113100189
5114100029,5113100098
5114100029,5114100034
5114100029,5114100118
5114100029,5114100188
5114100029,5114100026
5114100029,5113100146
5114100029,5113100147
5114100026,5114100025
5114100026,5114100064
5114100026,5114100097
5114100026,5114100177
5114100026,5114100051
5114100026,5114100188
5114100025,5114100026
5114100025,5114100064
5114100025,5114100097
5114100064,5114100025
5114100064,5114100026
5114100064,5114100051
5114100064,5114100097
5114100064,5114100177
5114100064,5114100029
5114100064,5114100001
5113100194,5113100186
5113100194,5113100189
5113100194,5113100179
5113100194,5113100165
5113100194,5113100185
5113100194,5113100160
5113100194,5113100146
5113100194,5113100134
5113100194,5113100133
5113100194,5113100084
5113100064,5113100186
5113100064,5113100189
5113100064,5113100179
5113100064,5113100165
5113100064,5113100185
5113100064,5113100160
5113100064,5113100146
5113100064,5113100134
5113100064,5113100133
5113100039,5114100172
5113100039,5114100130
5113100039,5114100118
5113100039,5114100097
5113100039,5114100051
5113100039,5114100001
5113100178,5114100172
5113100178,5114100130
5113100178,5114100001
5113100038,5113100039
5113100038,5113100004
5113100038,5113100127
5113100038,5113100147
5113100038,5113100153
5113100189,5113100179
5113100189,5113100036
5113100189,5113100038
5113100189,5113100039
5113100189,5113100098
5113100189,5113100134
5113100189,5113100147
5113100189,5113100153
5113100189,5113100178
5113100189,5113100194
5114100153,5114100186
5114100153,5114100118
5113100185,5113100165
5113100185,5113100098
5113100185,5113100064
5113100185,5113100194
5113100185,5113100186
5113100185,5113100146
5113100185,5113100133
5113100185,5113100014
5113100179,5113100133
5113100179,5113100131
5113100179,5113100194
5113100179,5113100186
5113100179,5113100155
5113100179,5113100084
5113100179,5113100165
5113100179,5113100108
5113100179,5113100036
5113100179,5113100044
5113100133,5113100179
5113100133,5113100131
5113100133,5113100155
5113100133,5113100194
5113100133,5113100160
5113100133,5113100186
5113100133,5113100185
5113100133,5113100064
5113100165,5113100185
5113100165,5113100186
5113100165,5113100194
5113100165,5113100186
5113100165,5113100146
5113100165,5113100133
5113100165,5113100014
5114100188,5114100001
5114100188,5114100029
5114100188,5114100034
5114100188,5114100051
5114100188,5114100130
5114100188,5114100177
5114100188,5114100181
5114100130,5114100051
5114100130,5114100097
5114100130,5114100172
5114100130,5114100177
5114100130,5114100181
5114100130,5114100186
5114100130,5114100188
5114100172,5114100130
5114100172,5114100181
5114100172,5114100051
5114100172,5114100097
5114100172,5113100178
5114100172,5113100189
5114100172,5114100001
5114100001,5114100097
5114100001,5114100172
5114100001,5113100189
5114100001,5113100134
5114100001,5114100130
5114100001,5114100051
5114100001,5114100130
5114100001,5114100181
5114100001,5114100188
5114100001,5114100177
5114100051,5114100016
5114100051,5114100063
5114100051,5114100165
5114100051,5114100097
5114100051,5114100001
511400051,5114100128
5114100051,5114100015
5114100051,5114100147
5114100097,5114100001
5114100097,5114100130
5114100097,5114100064
5114100097,5114100029
5114100097,5114100034
5114100097,5114100051
5114100097,5114100172
5114100097,5114100186
5114100097,5114100118
5114100097,5114100188
5114100097,5114100153
5114100097,5114100177
5114100097,5114100026
